sequence	group	net_charge	gravy_index
TRINITY_DN144974_c2_g2_i18.p1	our_amps	-2.139942773	-0.477419355
TRINITY_DN145141_c0_g1_i13.p2	our_amps	0.767046819	-0.98
TRINITY_DN142862_c0_g1_i1.p1	our_amps	2.765916059	-1.048780488
TRINITY_DN144633_c0_g1_i1.p3	our_amps	1.76872652	-0.890243902
TRINITY_DN141022_c2_g2_i1.p1	our_amps	6.71821833	0.029577465
TRINITY_DN143156_c8_g1_i3.p1	our_amps	-2.536078999	-0.036263736
TRINITY_DN142388_c1_g1_i2.p11	our_amps	0.837630079	-1.9
TRINITY_DN145854_c3_g1_i2.p7	our_amps	0.837630079	-1.9
TRINITY_DN144754_c1_g1_i1.p8	our_amps	-1.496713091	0.34
TRINITY_DN136922_c1_g3_i3.p6	our_amps	1.499345687	-1.57
TRINITY_DN144825_c5_g1_i5.p7	our_amps	-1.273102138	2.281818182
TRINITY_DN143036_c3_g1_i1.p7	our_amps	0.936373212	-1.430769231
TRINITY_DN144672_c0_g1_i1.p5	our_amps	-0.238096925	-0.684615385
TRINITY_DN137096_c3_g3_i1.p7	our_amps	-2.163050621	-0.14
TRINITY_DN144558_c2_g1_i2.p7	our_amps	-1.262090387	-0.42
TRINITY_DN140952_c1_g1_i1.p3	our_amps	0.840430541	-1.317647059
TRINITY_DN144720_c1_g1_i6.p3	our_amps	-0.228938422	-0.005
TRINITY_DN145261_c61_g1_i4.p3	our_amps	0.498356686	1.327272727
TRINITY_DN144811_c2_g1_i1.p6	our_amps	0.763013836	-0.75
TRINITY_DN142178_c2_g1_i3.p4	our_amps	-0.237975165	-0.531818182
TRINITY_DN145502_c1_g1_i5.p5	our_amps	0.763013836	-0.563636364
TRINITY_DN385865_c1_g1_i1.p3	our_amps	0.763135596	-0.792
TRINITY_DN144465_c6_g1_i3.p4	our_amps	4.847881722	-0.340740741
TRINITY_DN145050_c1_g1_i3.p3	our_amps	0.79890857	-0.482758621
TRINITY_DN145422_c2_g1_i12.p2	our_amps	-0.439917928	-0.7125
TRINITY_DN143683_c0_g1_i8.p5	our_amps	1.767737519	-1.697058824
TRINITY_DN136312_c3_g1_i18.p3	our_amps	0.830264284	0.454285714
TRINITY_DN137096_c2_g1_i1.p3	our_amps	0.85840287	-0.868571429
TRINITY_DN144690_c1_g2_i6.p2	our_amps	5.837970732	-0.28974359
TRINITY_DN142590_c2_g1_i1.p3	our_amps	-1.270883263	0.49
TRINITY_DN140874_c2_g1_i6.p1	our_amps	1.897076869	0.645070423
TRINITY_DN140874_c2_g1_i5.p1	our_amps	1.600342238	0.51547619
TRINITY_DN139116_c3_g1_i4.p2	our_amps	-4.511612649	-0.0125
TRINITY_DN145774_c5_g2_i5.p9	our_amps	-3.148671215	-0.430769231
TRINITY_DN134571_c44_g1_i3.p7	our_amps	-0.499645312	0.145454545
TRINITY_DN144971_c2_g1_i1.p2	our_amps	0.757216371	-0.154166667
TRINITY_DN142562_c4_g9_i3.p6	our_amps	1.489444697	0.054545455
TRINITY_DN138674_c4_g1_i1.p5	our_amps	2.761716534	-1.220833333
TRINITY_DN137133_c9_g1_i1.p11	our_amps	-0.499645312	1.075
TRINITY_DN139720_c6_g2_i1.p4	our_amps	2.757104611	0.13
TRINITY_DN142526_c5_g1_i7.p5	our_amps	1.75610561	0.4
TRINITY_DN141378_c0_g1_i1.p7	our_amps	0.763714536	-2.93
TRINITY_DN142969_c1_g1_i4.p2	our_amps	1.46429856	-0.983783784
TRINITY_DN143018_c44_g10_i2.p3	our_amps	0.500466448	1.259090909
TRINITY_DN612198_c2_g1_i1.p1	our_amps	3.938045111	-1.541463415
TRINITY_DN102902_c0_g1_i1.p4	our_amps	3.495359683	-0.053333333
TRINITY_DN135950_c1_g1_i1.p9	our_amps	4.455151454	-1.625
TRINITY_DN141075_c3_g1_i1.p9	our_amps	3.457961916	-1.7
TRINITY_DN144063_c5_g2_i1.p7	our_amps	0.765647757	-1.891666667
TRINITY_DN140586_c3_g1_i1.p1	our_amps	-3.245577654	0.505405405
TRINITY_DN138681_c7_g1_i1.p3	our_amps	6.748965083	-0.751515152
TRINITY_DN143020_c3_g1_i1.p2	our_amps	3.761127594	0.15
TRINITY_DN142309_c15_g5_i3.p3	our_amps	-5.150586252	-0.942857143
TRINITY_DN145297_c11_g1_i1.p3	our_amps	0.887650699	-0.436363636
TRINITY_DN144610_c1_g1_i1.p4	our_amps	-1.23136524	-1.392857143
TRINITY_DN143169_c2_g1_i6.p4	our_amps	0.674804824	-0.654545455
TRINITY_DN144771_c2_g7_i2.p1	our_amps	2.603091325	-0.56
TRINITY_DN131740_c0_g1_i1.p1	our_amps	11.47684418	-0.75308642
TRINITY_DN145457_c2_g1_i4.p3	our_amps	4.76215535	-1.807692308
TRINITY_DN144643_c3_g1_i1.p3	our_amps	4.751255359	-0.857142857
TRINITY_DN145245_c6_g1_i2.p2	our_amps	1.758448892	-0.010344828
TRINITY_DN145245_c6_g1_i5.p2	our_amps	1.758448892	-0.010344828
id_00028	apd3	-1.279380586	1.157142857
id_00035	apd3	5.753108607	-0.423076923
id_00145	apd3	3.712970868	-0.277083333
id_00199	apd3	1.913452469	-0.391891892
id_00204	apd3	2.794773849	0.405882353
id_00205	apd3	2.881948037	0.414705882
id_00206	apd3	1.710410123	0.190625
id_00207	apd3	7.362479618	-0.355882353
id_00480	apd3	-1.151911738	0.4
id_00499	apd3	-0.26601161	2.106666667
id_00529	apd3	0.798583312	0.321875
id_00530	apd3	1.681486436	0.731034483
id_00590	apd3	-1.279380586	1.171428571
id_00594	apd3	4.180434586	-0.981818182
id_00631	apd3	3.734427388	-0.253488372
id_00632	apd3	2.735426389	-0.313636364
id_00633	apd3	1.910773766	-0.574418605
id_00634	apd3	2.977146974	-0.493181818
id_00635	apd3	1.913452469	-0.410810811
id_00636	apd3	1.862873714	-0.076744186
id_00637	apd3	2.774867066	-0.185365854
id_00673	apd3	2.701278417	0.4
id_00674	apd3	-1.199418686	0.1625
id_00726	apd3	-0.239898386	0.727272727
id_00766	apd3	-0.152490678	0.996551724
id_00767	apd3	3.729982386	1.007246377
id_00768	apd3	5.026153913	0.38902439
id_00807	apd3	2.819990212	-0.177419355
id_00841	apd3	3.438895575	-0.029787234
id_00842	apd3	2.352720388	-0.118604651
id_00843	apd3	2.352842148	-0.188372093
id_00844	apd3	2.977146974	-0.429545455
id_00845	apd3	3.822600577	-0.548837209
id_00846	apd3	3.734427388	-0.253488372
id_00847	apd3	2.735426389	-0.151162791
id_00848	apd3	1.910773766	-0.606976744
id_00849	apd3	-0.532562758	-0.535135135
id_00850	apd3	0.979023216	-0.297297297
id_00851	apd3	2.977025214	-0.278378378
id_00852	apd3	4.888842024	-0.421621622
id_00853	apd3	0.864861716	-0.15
id_00854	apd3	3.860165012	-0.690697674
id_00865	apd3	1.534469633	-0.459574468
id_00923	apd3	1.862873714	-0.076744186
id_00927	apd3	-2.237843405	1.001724138
id_00928	apd3	-2.265548373	0.691428571
id_00929	apd3	5.502585527	0.548571429
id_00930	apd3	-0.032632257	-0.241860465
id_00931	apd3	2.75646089	0.937142857
id_00932	apd3	-0.152490678	1.036206897
id_00995	apd3	-0.237097924	-1.4
id_00996	apd3	-2.158693965	0.825
id_00997	apd3	2.794773849	0.523529412
id_00998	apd3	1.87705477	-0.477777778
id_01000	apd3	-1.092442518	0.452
id_01001	apd3	0.819364293	-0.359259259
id_01002	apd3	1.718489652	-0.128571429
id_01003	apd3	1.717500651	-0.013636364
id_01004	apd3	-2.245868153	1.122222222
id_01131	apd3	7.492988599	-0.084313725
id_01137	apd3	-1.279380586	1.142857143
id_01138	apd3	-1.279380586	1.157142857
id_01151	apd3	3.845613081	-0.743589744
id_01152	apd3	4.543548164	-0.692307692
id_01154	apd3	2.792047323	-0.35106383
id_01155	apd3	2.921228324	-0.461538462
id_01156	apd3	1.843279798	0.523076923
id_01165	apd3	-3.241745677	-0.403448276
id_01167	apd3	4.840272796	-0.653571429
id_01168	apd3	3.75691807	1.058333333
id_01169	apd3	1.824588579	0.197916667
id_01170	apd3	0.82571934	0.777966102
id_01171	apd3	0.824720339	0.533870968
id_01172	apd3	1.739290633	0.88
id_01173	apd3	1.739290633	0.88
id_01174	apd3	0.828276282	0.911363636
id_01175	apd3	3.928567745	-0.415151515
id_01176	apd3	0.377395613	1.214285714
id_01177	apd3	3.845369561	0.086666667
id_01178	apd3	3.760995835	-0.932
id_01179	apd3	4.739317612	-0.41627907
id_01180	apd3	1.836365811	-0.043478261
id_01181	apd3	0.860371553	-0.36
id_01182	apd3	10.73698707	-0.417142857
id_01183	apd3	2.862975474	-0.745454545
id_01184	apd3	2.862975474	-0.745454545
id_01185	apd3	3.900305583	-0.375471698
id_01186	apd3	9.904759761	-0.298275862
id_01187	apd3	3.478181623	-0.358823529
id_01188	apd3	5.494966601	-0.588636364
id_01189	apd3	6.791662043	0.063636364
id_01190	apd3	5.58315979	0.202272727
id_01191	apd3	5.581470089	0.202272727
id_01192	apd3	-2.577215979	0.563888889
id_01193	apd3	-4.329999861	0.885526316
id_01194	apd3	-1.190394937	-0.29
id_01195	apd3	-0.268368835	0.195454545
id_01196	apd3	-4.147550454	0.06547619
id_01197	apd3	2.862975474	-0.745454545
id_01198	apd3	-2.256768144	1.294285714
id_01199	apd3	3.995939953	-0.585714286
id_01200	apd3	-0.179626706	0.176
id_01201	apd3	-0.093441519	0.051851852
id_01202	apd3	-0.08453953	0.292592593
id_01203	apd3	1.902870778	-0.011111111
id_01204	apd3	0.90555948	0.111538462
id_01205	apd3	-0.385371926	0.575675676
id_01206	apd3	-1.276691884	0.94
id_01224	apd3	-0.26601161	2.353333333
id_01225	apd3	-0.267010611	2.08
id_01226	apd3	-0.49535365	-1.271428571
id_01227	apd3	-0.218441382	-0.13255814
id_01228	apd3	-0.133784003	-0.003409091
id_01229	apd3	-3.271592921	0.114444444
id_01230	apd3	-2.148559455	0.081818182
id_01231	apd3	-0.239898386	0.836666667
id_01232	apd3	-2.509069263	-0.251612903
id_01283	apd3	3.588544856	-1.292592593
id_01285	apd3	1.847499323	0.109459459
id_01329	apd3	-1.235276463	-0.26
id_01464	apd3	-1.205306313	-0.325490196
id_01493	apd3	4.741374632	0.54
id_01495	apd3	1.717500651	0.427272727
id_01511	apd3	0.358406093	0.251515152
id_01569	apd3	0.613629073	-0.251282051
id_01570	apd3	-1.266790894	1.343333333
id_01593	apd3	0.729521403	-0.189473684
id_01594	apd3	0.730510404	-0.168421053
id_01595	apd3	-0.270478597	-0.510526316
id_01596	apd3	0.730510404	-0.221052632
id_01600	apd3	1.810387523	0.53125
id_01603	apd3	-0.576657039	0.89047619
id_01604	apd3	1.91514203	-0.404166667
id_01605	apd3	-1.576647039	1.268421053
id_01606	apd3	2.708578662	0.240540541
id_01607	apd3	1.755505146	0.296969697
id_01608	apd3	1.755505146	0.296969697
id_01609	apd3	-0.113121739	-0.393103448
id_01610	apd3	-0.191393938	-0.633333333
id_01611	apd3	1.717500651	0.395454545
id_01612	apd3	6.511613671	-0.022580645
id_01615	apd3	5.423450482	0.087096774
id_01616	apd3	4.427548246	-0.22
id_01617	apd3	-0.315516561	0.333333333
id_01618	apd3	1.730202103	0.353125
id_01621	apd3	0.710400123	0.107142857
id_01632	apd3	-0.223927392	1.109090909
id_01647	apd3	0.740289634	0.45
id_01651	apd3	4.754229368	0.886666667
id_01652	apd3	1.93368451	0.826229508
id_01712	apd3	1.710410123	0.2875
id_01724	apd3	0.761202375	-0.378947368
id_01728	apd3	0.848078263	-0.411111111
id_01729	apd3	0.848078263	-0.47
id_01761	apd3	0.054541932	-0.318604651
id_01767	apd3	1.848900722	0.750819672
id_01955	apd3	1.997380761	-0.178
id_01963	apd3	-0.999161347	-0.489795918
id_01969	apd3	-0.239898386	0.484210526
id_01970	apd3	-3.160930859	-0.095
id_01971	apd3	1.663672458	0.736363636
id_01972	apd3	3.419513498	0.659259259
id_01993	apd3	2.372400608	0.451219512
id_01994	apd3	-0.259700366	2.6125
id_01995	apd3	-0.018601756	0.58028169
id_01996	apd3	-1.094689412	-0.445454545
id_01997	apd3	-0.514385697	0.107407407
id_02014	apd3	6.807537062	-0.446601942
id_02015	apd3	4.897951773	-0.505882353
id_02028	apd3	2.82558758	-0.333333333
id_02029	apd3	1.761435895	-0.686363636
id_02052	apd3	0.397197593	1.272727273
id_02053	apd3	-4.227053577	-0.982608696
id_02074	apd3	6.499775065	0.658571429
id_02104	apd3	1.498600205	0.209090909
id_02105	apd3	1.498600205	0.584
id_02117	apd3	0.67638391	0.675
id_02130	apd3	3.751326863	-1.1
id_02131	apd3	-3.172646309	-0.446534653
id_02132	apd3	-5.305763264	-0.064912281
id_02143	apd3	5.753108607	-0.445454545
id_02164	apd3	-0.24092891	1.019047619
id_02165	apd3	0.719498653	0.559090909
id_02189	apd3	-0.601803406	0.883333333
id_02190	apd3	-0.601803406	0.883333333
id_02191	apd3	-0.602802407	-0.033333333
id_02192	apd3	-0.602802407	-0.033333333
id_02193	apd3	0.758103612	0.108333333
id_02194	apd3	-1.244386952	-1.022222222
id_02201	apd3	2.757104611	0.744444444
id_02203	apd3	-3.235723643	-1.853846154
id_02204	apd3	5.754107608	-1.72
id_02220	apd3	-2.265548373	0.84
id_02221	apd3	-0.24092891	1.019047619
id_02242	apd3	3.345684641	0.0875
id_02243	apd3	1.731990388	1.06
id_02246	apd3	5.502585527	0.538571429
id_02247	apd3	5.4936052	0.3
id_02248	apd3	4.743309377	0.475
id_02249	apd3	0.760091614	1.118181818
id_02250	apd3	4.584447092	-0.683333333
id_02251	apd3	3.498271905	0.240909091
id_02252	apd3	0.731201104	0.53125
id_02253	apd3	5.583458091	-0.109302326
id_02254	apd3	1.779926029	-0.438842975
id_02308	apd3	1.817386291	0.125
id_02320	apd3	5.916780513	-0.646296296
id_02321	apd3	2.39431235	0.262162162
id_02323	apd3	6.822438818	-1.522727273
id_02324	apd3	3.795346592	-0.9875
id_02333	apd3	0.759102613	2.8125
id_02336	apd3	-2.16054846	-1.09
id_02346	apd3	-2.147103274	-1.134782609
id_02347	apd3	3.75610561	0.161538462
id_02348	apd3	1.376396612	1.26
id_02349	apd3	1.376396612	1.42
id_02359	apd3	0.806672841	0.336363636
id_02360	apd3	4.501949608	1.009090909
id_02361	apd3	1.500168147	1.387096774
id_02370	apd3	1.748202622	0.691666667
id_02372	apd3	-0.239898386	2.866666667
id_02376	apd3	2.761182376	-0.2875
id_02378	apd3	-2.16205162	1.771428571
id_02379	apd3	-2.16205162	1.771428571
id_02380	apd3	-2.16205162	1.771428571
id_02394	apd3	-2.275571123	0.964516129
id_02395	apd3	-3.266239073	0.476190476
id_02396	apd3	4.752353126	0.85
id_02397	apd3	0.22180608	0.152631579
id_02398	apd3	4.833768187	0.044339623
id_02399	apd3	1.087726452	-0.693421053
id_02402	apd3	2.755096609	-0.379069767
id_02408	apd3	-0.315516561	0.333333333
id_02410	apd3	-1.278381585	1
id_02418	apd3	-0.239898386	-1.12
id_02429	apd3	3.755106609	-0.140909091
id_02431	apd3	-0.601803406	-1.64
id_02432	apd3	0.863236796	0.75625
id_02433	apd3	0.731322864	0.702222222
id_02441	apd3	-0.116951224	-1.65
id_02450	apd3	-2.16054846	-1.3
id_02520	apd3	5.739039311	0.622058824
id_02524	apd3	-1.298061806	-0.15
id_02525	apd3	-2.575526278	0.505555556
id_02526	apd3	-1.576647039	0.38
id_02543	apd3	5.757176372	-0.766666667
id_02572	apd3	-0.239898386	1.216666667
id_02573	apd3	-0.239898386	1.166666667
id_02574	apd3	-0.239898386	1.283333333
id_02575	apd3	-0.239898386	1.333333333
id_02576	apd3	0.759102613	0.633333333
id_02577	apd3	0.759102613	0.583333333
id_02578	apd3	-0.239898386	1.166666667
id_02581	apd3	-0.249799376	0.768421053
id_02582	apd3	-2.299816288	0.795588235
id_02584	apd3	4.752231366	0.953125
id_02586	apd3	0.431245949	0.369047619
id_02587	apd3	0.431245949	0.378571429
id_02588	apd3	1.430246948	0.369047619
id_02646	apd3	0.90555948	-0.130769231
id_02649	apd3	-0.26601161	2.925
id_02677	apd3	0.759102613	0.025
id_02678	apd3	1.459137458	-0.315384615
id_02688	apd3	-0.26601161	1.38
id_02693	apd3	0.818385292	0.052
id_02696	apd3	-0.239898386	-1.857142857
id_02719	apd3	-0.239776626	0.233333333
id_02720	apd3	-0.239776626	0.28
id_02725	apd3	0.733012565	-0.144736842
id_02726	apd3	3.70660066	0.32962963
id_02728	apd3	-2.277260824	0.975
id_02741	apd3	1.712211584	-0.821428571
id_02768	apd3	-0.449376691	-1.03
id_02777	apd3	1.733801849	-0.046153846
id_02778	apd3	1.672584447	0.838888889
id_02779	apd3	1.759915073	-0.269230769
id_02799	apd3	0.8857575	-0.12
id_02800	apd3	4.753253625	0.192105263
id_02801	apd3	6.759178611	0.026666667
id_02829	apd3	1.862985474	-0.658139535
id_02831	apd3	1.759915073	0.033333333
id_02877	apd3	-1.237087924	1.271428571
id_02887	apd3	-2.236275464	0.173333333
id_02895	apd3	1.633411054	-0.248888889
id_02902	apd3	3.586435094	-0.151162791
id_02905	apd3	-0.239898386	2.1
id_02914	apd3	4.574247801	-0.7
id_02925	apd3	-2.265548373	0.72
id_02926	apd3	1.793876586	0.85
id_02928	apd3	5.754107608	-1.82
id_02954	apd3	0.846398561	1.056896552
id_02955	apd3	-0.180615707	0.0875
id_02956	apd3	1.841426814	0.136363636
id_02957	apd3	1.843228275	-0.188636364
id_02978	apd3	-0.178837422	-0.427272727
id_02979	apd3	-0.261409687	0.09
id_03013	apd3	2.845267801	0.28
id_03060	apd3	0.759905073	0.368421053
id_03074	apd3	1.844092258	-0.388235294
id_03075	apd3	1.000067717	-0.370588235
id_03076	apd3	1.016750934	-0.244444444
id_03088	apd3	1.711399124	0.265625
id_03103	apd3	1.804664839	0.034090909
id_03132	apd3	5.667831817	-0.064
id_03138	apd3	0.338780654	0.709090909
id_03141	apd3	3.968123224	-0.051428571
id_03142	apd3	1.459259218	-2.133333333
id_03153	apd3	8.889888181	-1.033802817
id_03162	apd3	-0.287811592	1.1375
id_03163	apd3	0.732989389	0.944
id_03167	apd3	-3.062384267	-0.714285714
dbAMP_00029	dbamp	-8.205168519	-0.049425287
dbAMP_00051	dbamp	4.967185962	0.175675676
dbAMP_00054	dbamp	3.792691044	-0.073333333
dbAMP_00057	dbamp	2.773075605	0.426086957
dbAMP_00059	dbamp	-6.231170363	0.210619469
dbAMP_00088	dbamp	-0.999161347	-0.489795918
dbAMP_00121	dbamp	2.736242107	0.476666667
dbAMP_00122	dbamp	3.736232107	0.34
dbAMP_00123	dbamp	2.736242107	0.413333333
dbAMP_00148	dbamp	1.755505146	0.296969697
dbAMP_00189	dbamp	2.793866586	-1.0375
dbAMP_00199	dbamp	1.886072758	-0.033783784
dbAMP_00207	dbamp	5.789125101	0.269230769
dbAMP_00247	dbamp	2.792047323	-0.35106383
dbAMP_00283	dbamp	1.862873714	-0.076744186
dbAMP_00293	dbamp	-1.199503489	1.096666667
dbAMP_00302	dbamp	4.793801805	-1
dbAMP_00303	dbamp	4.793801805	-1
dbAMP_00304	dbamp	5.792681044	-0.863157895
dbAMP_00305	dbamp	4.793801805	-0.863157895
dbAMP_00306	dbamp	5.792681044	-0.726315789
dbAMP_00307	dbamp	4.793801805	-1.242105263
dbAMP_00308	dbamp	4.793801805	-1.189473684
dbAMP_00352	dbamp	2.795844588	0.666666667
dbAMP_00354	dbamp	1.792000344	0.1
dbAMP_00358	dbamp	3.794845587	-0.188888889
dbAMP_00359	dbamp	3.795834588	-0.255555556
dbAMP_00365	dbamp	5.789880582	0.225
dbAMP_00390	dbamp	3.791878584	0.446153846
dbAMP_00404	dbamp	2.794845587	0.1
dbAMP_00420	dbamp	-1.286208576	0.248888889
dbAMP_00427	dbamp	3.012919947	-0.304
dbAMP_00436	dbamp	-4.152146922	0.174074074
dbAMP_00437	dbamp	6.791662043	0.063636364
dbAMP_00447	dbamp	-0.16797358	-0.511320755
dbAMP_00449	dbamp	2.792877585	-1.5125
dbAMP_00464	dbamp	-0.204125412	0.52
dbAMP_00468	dbamp	-0.03650653	-0.29380531
dbAMP_00469	dbamp	2.793866586	-1.5875
dbAMP_00484	dbamp	1.713669664	-0.21
dbAMP_00512	dbamp	5.76181375	-0.535211268
dbAMP_00542	dbamp	3.773868065	-0.373170732
dbAMP_00543	dbamp	2.774867066	-0.185365854
dbAMP_00563	dbamp	0.794865587	0.364
dbAMP_00564	dbamp	0.874996226	-0.04125
dbAMP_00565	dbamp	-0.133784003	-0.003409091
dbAMP_00566	dbamp	-1.240918911	1.405263158
dbAMP_00569	dbamp	4.741374632	0.54
dbAMP_00570	dbamp	-0.204125412	0.7625
dbAMP_00572	dbamp	6.8473418	0.003333333
dbAMP_00579	dbamp	-0.24092891	1.019047619
dbAMP_00585	dbamp	5.932037383	-0.150684932
dbAMP_00587	dbamp	-5.010243364	-0.082300885
dbAMP_00668	dbamp	5.787928736	-0.425882353
dbAMP_00669	dbamp	5.788917737	-0.376078431
dbAMP_00670	dbamp	-0.223927392	1.109090909
dbAMP_00672	dbamp	-0.116951224	-1.65
dbAMP_00673	dbamp	-0.134017523	-0.213636364
dbAMP_00674	dbamp	-1.134708223	-0.272727273
dbAMP_00675	dbamp	1.776688527	-0.221052632
dbAMP_00676	dbamp	0.864861716	-0.15
dbAMP_00680	dbamp	13.02967986	-0.460392157
dbAMP_00682	dbamp	0.794865587	0
dbAMP_00687	dbamp	2.862975474	-0.745454545
dbAMP_00688	dbamp	3.860165012	-0.751162791
dbAMP_00689	dbamp	3.860165012	-0.690697674
dbAMP_00690	dbamp	2.956251189	-0.774358974
dbAMP_00691	dbamp	2.956251189	-0.907692308
dbAMP_00693	dbamp	3.773102584	-0.43255814
dbAMP_00694	dbamp	4.773092584	-0.4125
dbAMP_00695	dbamp	6.8473418	0.031034483
dbAMP_00698	dbamp	2.478300734	-0.563276836
dbAMP_00727	dbamp	-0.198022289	-0.469230769
dbAMP_00747	dbamp	-1.202313951	0.546666667
dbAMP_00752	dbamp	-1.202882891	0.044444444
dbAMP_00759	dbamp	2.795844588	0.144444444
dbAMP_00769	dbamp	0.860371553	-0.36
dbAMP_00783	dbamp	-0.270478597	-0.510526316
dbAMP_00789	dbamp	0.710400123	0.107142857
dbAMP_00864	dbamp	1.839166274	-0.777777778
dbAMP_00874	dbamp	0.729521403	-0.189473684
dbAMP_00877	dbamp	4.969382124	-1.130232558
dbAMP_00879	dbamp	6.838527334	-0.272916667
dbAMP_00880	dbamp	-1.279380586	1.171428571
dbAMP_00881	dbamp	-1.279380586	1.157142857
dbAMP_00882	dbamp	-1.279380586	1.157142857
dbAMP_00883	dbamp	-1.279380586	1.142857143
dbAMP_00884	dbamp	-0.280501347	1.157142857
dbAMP_00922	dbamp	0.730510404	-0.221052632
dbAMP_00923	dbamp	0.730510404	-0.168421053
dbAMP_00929	dbamp	-0.191393938	-0.633333333
dbAMP_00930	dbamp	-1.190394937	-0.29
dbAMP_00933	dbamp	-0.259700366	0.830769231
dbAMP_00935	dbamp	-1.276691884	0.94
dbAMP_00936	dbamp	-1.266790894	0.857894737
dbAMP_00938	dbamp	1.728522402	0.428125
dbAMP_00942	dbamp	-1.296493864	0.772727273
dbAMP_00954	dbamp	-0.269479596	-0.168421053
dbAMP_00962	dbamp	0.22180608	0.152631579
dbAMP_00963	dbamp	-1.266790894	1.421428571
dbAMP_00968	dbamp	-2.147980515	-0.455555556
dbAMP_00970	dbamp	-2.021180312	-0.091139241
