dose	repl	time	od_value
100 µg/mL	1	6	0.14
100 µg/mL	2	6	0.145
100 µg/mL	3	6	0.143
50 µg/mL	1	6	0.14
50 µg/mL	2	6	0.137
50 µg/mL	3	6	0.138
25 µg/mL	1	6	0.15
25 µg/mL	2	6	0.15
25 µg/mL	3	6	0.152
12.5 µg/mL	1	6	0.161
12.5 µg/mL	2	6	0.158
12.5 µg/mL	3	6	0.16
6.25 µg/mL	1	6	0.167
6.25 µg/mL	2	6	0.165
6.25 µg/mL	3	6	0.167
3.13 µg/mL	1	6	0.16
3.13 µg/mL	2	6	0.162
3.13 µg/mL	3	6	0.162
Control	1	6	0.18
Control	2	6	0.195
Control	3	6	0.189
100 µg/mL	1	7	0.161
100 µg/mL	2	7	0.165
100 µg/mL	3	7	0.164
50 µg/mL	1	7	0.168
50 µg/mL	2	7	0.163
50 µg/mL	3	7	0.165
25 µg/mL	1	7	0.177
25 µg/mL	2	7	0.18
25 µg/mL	3	7	0.179
12.5 µg/mL	1	7	0.189
12.5 µg/mL	2	7	0.185
12.5 µg/mL	3	7	0.186
6.25 µg/mL	1	7	0.194
6.25 µg/mL	2	7	0.192
6.25 µg/mL	3	7	0.192
3.13 µg/mL	1	7	0.189
3.13 µg/mL	2	7	0.19
3.13 µg/mL	3	7	0.189
Control	1	7	0.2
Control	2	7	0.221
Control	3	7	0.21
100 µg/mL	1	8	0.179
100 µg/mL	2	8	0.187
100 µg/mL	3	8	0.181
50 µg/mL	1	8	0.184
50 µg/mL	2	8	0.178
50 µg/mL	3	8	0.18
25 µg/mL	1	8	0.196
25 µg/mL	2	8	0.198
25 µg/mL	3	8	0.198
12.5 µg/mL	1	8	0.206
12.5 µg/mL	2	8	0.201
12.5 µg/mL	3	8	0.205
6.25 µg/mL	1	8	0.209
6.25 µg/mL	2	8	0.207
6.25 µg/mL	3	8	0.208
3.13 µg/mL	1	8	0.202
3.13 µg/mL	2	8	0.216
3.13 µg/mL	3	8	0.21
Control	1	8	0.242
Control	2	8	0.239
Control	3	8	0.24
100 µg/mL	1	9	0.198
100 µg/mL	2	9	0.195
100 µg/mL	3	9	0.199
50 µg/mL	1	9	0.197
50 µg/mL	2	9	0.195
50 µg/mL	3	9	0.196
25 µg/mL	1	9	0.208
25 µg/mL	2	9	0.209
25 µg/mL	3	9	0.21
12.5 µg/mL	1	9	0.215
12.5 µg/mL	2	9	0.213
12.5 µg/mL	3	9	0.214
6.25 µg/mL	1	9	0.219
6.25 µg/mL	2	9	0.215
6.25 µg/mL	3	9	0.217
3.13 µg/mL	1	9	0.21
3.13 µg/mL	2	9	0.227
3.13 µg/mL	3	9	0.215
Control	1	9	0.25
Control	2	9	0.23
Control	3	9	0.24
100 µg/mL	1	20	0.182
100 µg/mL	2	20	0.165
100 µg/mL	3	20	0.163
50 µg/mL	1	20	0.174
50 µg/mL	2	20	0.169
50 µg/mL	3	20	0.176
25 µg/mL	1	20	0.189
25 µg/mL	2	20	0.185
25 µg/mL	3	20	0.186
12.5 µg/mL	1	20	0.211
12.5 µg/mL	2	20	0.191
12.5 µg/mL	3	20	0.192
6.25 µg/mL	1	20	0.207
6.25 µg/mL	2	20	0.196
6.25 µg/mL	3	20	0.196
3.13 µg/mL	1	20	0.202
3.13 µg/mL	2	20	0.203
3.13 µg/mL	3	20	0.203
Control	1	20	0.25
Control	2	20	0.24
Control	3	20	0.24
