dose	repl	time	od_value
50 µg/mL	1	6	0.157
50 µg/mL	2	6	0.176
50 µg/mL	3	6	0.165
25 µg/mL	1	6	0.16
25 µg/mL	2	6	0.179
25 µg/mL	3	6	0.165
12.5 µg/mL	1	6	0.166
12.5 µg/mL	2	6	0.178
12.5 µg/mL	3	6	0.17
6.25 µg/mL	1	6	0.169
6.25 µg/mL	2	6	0.185
6.25 µg/mL	3	6	0.17
3.13 µg/mL	1	6	0.163
3.13 µg/mL	2	6	0.188
3.13 µg/mL	3	6	0.17
Control	1	6	0.209
Control	2	6	0.211
Control	3	6	0.209
100 µg/mL	1	7	0.18
100 µg/mL	2	7	0.198
100 µg/mL	3	7	0.185
50 µg/mL	1	7	0.174
50 µg/mL	2	7	0.205
50 µg/mL	3	7	0.18
25 µg/mL	1	7	0.179
25 µg/mL	2	7	0.203
25 µg/mL	3	7	0.18
12.5 µg/mL	1	7	0.188
12.5 µg/mL	2	7	0.199
12.5 µg/mL	3	7	0.189
6.25 µg/mL	1	7	0.192
6.25 µg/mL	2	7	0.199
6.25 µg/mL	3	7	0.19
3.13 µg/mL	1	7	0.184
3.13 µg/mL	2	7	0.203
3.13 µg/mL	3	7	0.19
Control	1	7	0.235
Control	2	7	0.228
Control	3	7	0.23
100 µg/mL	1	8	0.214
100 µg/mL	2	8	0.228
100 µg/mL	3	8	0.22
50 µg/mL	1	8	0.202
50 µg/mL	2	8	0.235
50 µg/mL	3	8	0.22
25 µg/mL	1	8	0.203
25 µg/mL	2	8	0.232
25 µg/mL	3	8	0.21
12.5 µg/mL	1	8	0.207
12.5 µg/mL	2	8	0.229
12.5 µg/mL	3	8	0.201
6.25 µg/mL	1	8	0.21
6.25 µg/mL	2	8	0.224
6.25 µg/mL	3	8	0.24
3.13 µg/mL	1	8	0.199
3.13 µg/mL	2	8	0.218
3.13 µg/mL	3	8	0.21
Control	1	8	0.242
Control	2	8	0.237
Control	3	8	0.239
100 µg/mL	1	9	0.284
100 µg/mL	2	9	0.314
100 µg/mL	3	9	0.29
50 µg/mL	1	9	0.243
50 µg/mL	2	9	0.285
50 µg/mL	3	9	0.26
25 µg/mL	1	9	0.239
25 µg/mL	2	9	0.269
25 µg/mL	3	9	0.245
12.5 µg/mL	1	9	0.242
12.5 µg/mL	2	9	0.268
12.5 µg/mL	3	9	0.25
6.25 µg/mL	1	9	0.238
6.25 µg/mL	2	9	0.255
6.25 µg/mL	3	9	0.24
3.13 µg/mL	1	9	0.221
3.13 µg/mL	2	9	0.243
3.13 µg/mL	3	9	0.23
Control	1	9	0.272
Control	2	9	0.299
Control	3	9	0.282
100 µg/mL	1	20	0.442
100 µg/mL	2	20	0.448
100 µg/mL	3	20	0.441
50 µg/mL	1	20	0.464
50 µg/mL	2	20	0.464
50 µg/mL	3	20	0.463
25 µg/mL	1	20	0.439
25 µg/mL	2	20	0.44
25 µg/mL	3	20	0.431
12.5 µg/mL	1	20	0.447
12.5 µg/mL	2	20	0.453
12.5 µg/mL	3	20	0.449
6.25 µg/mL	1	20	0.445
6.25 µg/mL	2	20	0.459
6.25 µg/mL	3	20	0.446
3.13 µg/mL	1	20	0.409
3.13 µg/mL	2	20	0.464
3.13 µg/mL	3	20	0.410
Control	1	20	0.537
Control	2	20	0.51
Control	3	20	0.523
